Ngày đặt hàng,Mã đơn hàng,Barcode,Tên sản phẩm,Tên phân loại hàng,Số lượng,Giá bán thực,Người Mua,Phương thức thanh toán,Tỉnh/Thành phố,Hủy bởi,Hủy với lý do,Trạng thái Trả hàng/Hoàn tiền,Thời gian hoàn thành đơn hàng
08/03/2021,210308RBV2X22P,4063697919877,PUMA ULTRA 4.2 TT - 106357-01 - XANH/ VÀNG,44,1,1450000,t_h.vn,Thanh toán khi nhận hàng,An Giang,,,,14/03/2021
11/03/2021,2103113GKSDQ1R,Baloxam,BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,90000,maiquynh203,Thanh toán khi nhận hàng,Đắk Lắk,,,,16/03/2021
13/03/2021,2103139NGGCC0P,4062053843269,ADIDAS X TANGO 19.3 TF – EG7155 – XANH HOÀNG GIA/ TRẮNG,43 1/3,1,1290000,giaphu20056,Thanh toán khi nhận hàng,Cần Thơ,,,,16/03/2021
13/03/2021,2103139T79XYV5,VOTHF-1,Vớ lẻ THF,Trắng,1,30000,caodanhtoai,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,21/03/2021
15/03/2021,210315EY59NTQY,4573103657816,VỚ DÀI ACTIVITAL FOOT SUPPORTER DOUBLE XX - GSM05-BK - ĐEN (BẢN CẢI TIẾN),S [23cm-25cm],1,420000,Th02,Thanh toán khi nhận hàng,Đắk Nông,,,,17/03/2021
15/03/2021,210315EY5PX2RU,192499444301,NIKE MERCURIAL SUPERFLYX 6 ELITE IC - AH7373-801 - CAM / TRẮNG,40,1,1950000,yensaobaochau_2021,Thanh toán khi nhận hàng,Cần Thơ,,,,21/03/2021
16/03/2021,210316GD59V4KH,194276566565,NIKE MERCURIAL VAPOR 13 PRO TF – AT8004-060 – ĐEN/ĐỎ,40.5,1,2250000,thanhhaileo,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,21/03/2021
16/03/2021,210316GD59V4KH,VOTHF-1,Vớ lẻ THF,Trắng,1,0,thanhhaileo,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,21/03/2021
16/03/2021,210316GD59V4KH,Baloxam,BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,0,thanhhaileo,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,21/03/2021
16/03/2021,210316H7UNR6AX,4589527206103,VỚ ACTIVITAL FOOT SUPPORTER CLASSIC - GSM01-BL - ĐEN,L-LL [26.0cm-29.0cm],1,310000,villabi,Thanh toán khi nhận hàng,Phú Yên,,,,22/03/2021
16/03/2021,210316HP2VVRQS,193145654365,NIKE TIEMPO PREMIER II SALA – AV3153-011 – ĐEN,42,1,1950000,4mkklbdrrj,Thẻ Tín dụng/Ghi nợ,Đắk Lắk,,,,19/03/2021
17/03/2021,210317KVSB40FP,VOTHF-1,Vớ lẻ THF,Trắng,1,30000,Nt37,Thanh toán khi nhận hàng,Cần Thơ,Hủy bởi người mua,Muốn nhập/thay đổi mã Voucher,,
17/03/2021,210317M2UP18P3,4062059904698,ADIDAS X GHOSTED.1 IN – EG8171 – TRẮNG / ĐEN,42,1,2450000,Lt98,Thanh toán khi nhận hàng,Quảng Ninh,,,,25/03/2021
22/03/2021,2103223A9J278P,8717154533217,GEL LÀM NÓNG 100ML STARBALM – ĐỎ,100 ML,1,170000,villabi,Thanh toán khi nhận hàng,Phú Yên,,,,29/03/2021
22/03/2021,2103223FJ003NC,VOTHF-1,Vớ lẻ THF,Trắng,1,30000,trung14725,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,Hủy bởi người mua,Đổi ý không muốn mua nữa,,
22/03/2021,2103223FJ003NC,Baloxam,BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,90000,trung14725,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,Hủy bởi người mua,Đổi ý không muốn mua nữa,,
23/03/2021,2103234G2UVWEM,4060517413430,ADIDAS PREDATOR MUTATOR 20+ TF - EH2870 - XANH CHUỐI/ ĐEN,40,1,3800000,hoangtuarita,Thanh toán khi nhận hàng,Nghệ An,,,,25/03/2021
23/03/2021,2103234MFK7GQJ,4062053797661,ADIDAS PREDATOR 20.3 TF – EG0913 – TRẮNG / HỒNG,43 1/3,1,1350000,lyhaishop_666,Thanh toán khi nhận hàng,Quảng Ninh,,,,31/03/2021
25/03/2021,210325B456DGT1,VOTHF-1,Vớ lẻ THF,Trắng,1,15000,vochauphatdat2004,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,27/03/2021
25/03/2021,210325B456DGT1,VOTHF-2,Vớ lẻ THF,Đen,1,30000,vochauphatdat2004,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,27/03/2021
25/03/2021,210325B456DGT1,Baloxam,BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,45000,vochauphatdat2004,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,27/03/2021
28/03/2021,210328HY7UPXUJ,6941405950672,MIZUNO MORELIA TF – Q1GB210160 – ĐỎ TRẮNG,44,1,2600000,blackenpdh,Thẻ Tín dụng/Ghi nợ,Hà Nội,,,,01/04/2021
28/03/2021,210328HY7UPXUJ,Balocam,BALO THF - CAM ĐEN / XÁM VÀNG,Màu cam,1,0,blackenpdh,Thẻ Tín dụng/Ghi nợ,Hà Nội,,,,01/04/2021
28/03/2021,210328HY7UPXUJ,Baloxam,BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,0,blackenpdh,Thẻ Tín dụng/Ghi nợ,Hà Nội,,,,01/04/2021
28/03/2021,210328JA5N2Y2C,194276430170,NIKE TIEMPO LEGEND 8 ACADEMY IC – AT6099-163 – TRẮNG/ XÁM ĐỎ,42.5,1,1850000,Cg13,Thanh toán khi nhận hàng,An Giang,Hủy bởi người mua,Lý do khác,,
28/03/2021,210328JDVX8316,4062063340291,ADIDAS TOPSALA – FX6761 – HỒNG NEON/TRẮNG,42 2/3,1,1750000,Cg13,Thanh toán khi nhận hàng,An Giang,,,,30/03/2021
29/03/2021,210329KSP6AUFU,VOTHF-1,Vớ lẻ THF,Trắng,1,15000,minhnhat_26,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,02/04/2021
29/03/2021,210329KSP6AUFU,Baloxam,BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,45000,minhnhat_26,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,02/04/2021
29/03/2021,210329M7KPR8XR,VOTHF-1,Vớ lẻ THF,Trắng,1,30000,caodanhtoai,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,03/04/2021
29/03/2021,210330NBUPSQY6,194501124263,NIKE MERCURIAL DREAM SPEED SUPERFLY 8 ACADEMY TF - CV0952-118 - TRẮNG/CAM,42.5,1,2150000,quanthanh135,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,30/03/2021
29/03/2021,210330NBUPSQY6,VOTHF-1,Vớ lẻ THF,Trắng,1,0,quanthanh135,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,30/03/2021
29/03/2021,210330NBUPSQY6,Baloxam,BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,0,quanthanh135,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,30/03/2021
29/03/2021,210330NBUPSQY6,Baloxam,BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,4,90000,quanthanh135,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,30/03/2021
30/03/2021,210330PWKPQRGF,4589527206103,VỚ ACTIVITAL FOOT SUPPORTER CLASSIC - GSM01-BL - ĐEN,L-LL [26.0cm-29.0cm],1,310000,leminh09092013,Thanh toán khi nhận hàng,Bạc Liêu,,,,31/03/2021
30/03/2021,210330PWKPQRGF,4064037909633,ADIDAS X GHOSTED.1 TF – FW6962– VÀNG CHANH,42 2/3,1,2750000,leminh09092013,Thanh toán khi nhận hàng,Bạc Liêu,,,,31/03/2021
30/03/2021,210330PWKPQRGF,VOTHF-1,VỚ ĐÁ BÓNG THF,Trắng,1,0,leminh09092013,Thanh toán khi nhận hàng,Bạc Liêu,,,,31/03/2021
30/03/2021,210330PWKPQRGF,Baloxam,BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,0,leminh09092013,Thanh toán khi nhận hàng,Bạc Liêu,,,,31/03/2021
31/03/2021,210331RQJHQS6Y,VOTHF-1,VỚ ĐÁ BÓNG THF,Trắng,2,30000,tai123le,Tài khoản ngân hàng đã liên kết Ví ShopeePay,TP. Hồ Chí Minh,,,,31/03/2021
31/03/2021,210331RQJHQS6Y,VOTHF-2,VỚ ĐÁ BÓNG THF,Đen,2,30000,tai123le,Tài khoản ngân hàng đã liên kết Ví ShopeePay,TP. Hồ Chí Minh,,,,31/03/2021
02/04/2021,21040212Q94PNK,Baloxam,BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,90000,letrinh1605,Tài khoản ngân hàng đã liên kết Ví ShopeePay,TP. Hồ Chí Minh,,,,02/04/2021
02/04/2021,21040215MQUP5Y,NIAV3153608IC-42.5,NIKE TIEMPO PREMIER II SALA – AV3153-608 – ĐỎ CAMO,42.5,1,1850000,dtktsm,Thanh toán khi nhận hàng,Hải Phòng,Hủy bởi người mua,Đổi ý không muốn mua nữa,,
02/04/2021,21040215MQUP5Y,VOTHF-1,VỚ ĐÁ BÓNG THF,Trắng,1,0,dtktsm,Thanh toán khi nhận hàng,Hải Phòng,Hủy bởi người mua,Đổi ý không muốn mua nữa,,
02/04/2021,21040215MQUP5Y,Baloxam,BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,0,dtktsm,Thanh toán khi nhận hàng,Hải Phòng,Hủy bởi người mua,Đổi ý không muốn mua nữa,,
02/04/2021,21040215NUVPXC,NIAV3153608IC-43,NIKE TIEMPO PREMIER II SALA – AV3153-608 – ĐỎ CAMO,43,1,1850000,dtktsm,Thanh toán khi nhận hàng,Hải Phòng,,,,09/04/2021
02/04/2021,21040215NUVPXC,VOTHF-1,VỚ ĐÁ BÓNG THF,Trắng,1,0,dtktsm,Thanh toán khi nhận hàng,Hải Phòng,,,,09/04/2021
02/04/2021,21040215NUVPXC,Baloxam,BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,0,dtktsm,Thanh toán khi nhận hàng,Hải Phòng,,,,09/04/2021
02/04/2021,2104021PJ04N8K,4573103655140,VỚ NGẮN ACTIVITAL FOOT SUPPORTER JAPAN –GSM03-RD – ĐỎ,S-M [22.5cm-25.5cm],1,380000,linhcandy6492,Thanh toán khi nhận hàng,Đồng Nai,,,,08/04/2021
03/04/2021,2104034ESK13VV,Baloxam,[Mã FASHIONT4MA giảm 10K đơn 50K] BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,90000,chungtanphong.,Thanh toán khi nhận hàng,Bình Thuận,Hủy bởi người mua,Lý do khác,,
04/04/2021,2104044XF0HUR2,0015163000004,QUẦN BÓNG ĐÁ GRAND SPORT – 01516-3000 – ĐỎ,XL,1,115000,nhamishop1,Thanh toán khi nhận hàng,Hà Nội,,,,11/04/2021
04/04/2021,21040450AP8Y2U,0015162000004,QUẦN BÓNG ĐÁ GRAND SPORT - 01516-2000 - TRẮNG,XL,1,115000,Hh23,Thanh toán khi nhận hàng,Long An,,,,05/04/2021
04/04/2021,2104045HGQUGTS,Baloxam,[Mã FASHIONT4MA giảm 10K đơn 50K] BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,90000,Ln01,Thanh toán khi nhận hàng,Đồng Tháp,,,,06/04/2021
04/04/2021,2104046178P0FW,VOTHF-1,[Mã FASHIONT4MA giảm 10K đơn 50K] VỚ ĐÁ BÓNG THF,Trắng,1,30000,tranthiensy,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,09/04/2021
04/04/2021,210404618F3XPT,VOTHF-2,[Mã FASHIONT4MA giảm 10K đơn 50K] VỚ ĐÁ BÓNG THF,Đen,1,30000,tranthiensy,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,09/04/2021
04/04/2021,2104046NYKYKGH,4573103657823,VỚ DÀI ACTIVITAL FOOT SUPPORTER DOUBLE XX - GSM05-BK - ĐEN (BẢN CẢI TIẾN),M [25cm-27cm],1,420000,Tg04,Thanh toán khi nhận hàng,Đồng Nai,Hủy bởi người mua,Muốn nhập/thay đổi mã Voucher,,
04/04/2021,2104046P2V3HXB,4573103657823,VỚ DÀI ACTIVITAL FOOT SUPPORTER DOUBLE XX - GSM05-BK - ĐEN (BẢN CẢI TIẾN),M [25cm-27cm],1,420000,Tg04,Thanh toán khi nhận hàng,Đồng Nai,,,,08/04/2021
05/04/2021,2104059AB3YVYV,4063697919839,PUMA ULTRA 4.2 TT - 106357-01 - XANH/ VÀNG,41,1,1450000,dauthungden1,Thanh toán khi nhận hàng,Hà Nội,Hủy bởi người mua,Đổi ý không muốn mua nữa,,
06/04/2021,210406ASM3YFGJ,VOTHF-1,[Mã FASHIONT4MA giảm 10K đơn 50K] VỚ ĐÁ BÓNG THF,Trắng,3,30000,nũ49,Thanh toán khi nhận hàng,Bình Dương,,,,11/04/2021
06/04/2021,210406B8ME9TK6,4573103654532,VỚ ACTIVITAL FOOT SUPPORTER HYBRID - GSM02-RB - ĐỎ/ ĐEN,L-LL [26.0cm-29.0cm],1,390000,tran.dailoc,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,08/04/2021
07/04/2021,210407DFJBUK2S,4550234021662,MIZUNO MONARCIDA NEO SALA SELECT TF - Q1GB201260 - ĐỎ/ĐEN,41,1,1440000,vanviet_1.,Thanh toán khi nhận hàng,Kiên Giang,,,,13/04/2021
08/04/2021,210408FWT1C4FM,4573103655232,VỚ NGẮN ACTIVITAL FOOT SUPPORTER JAPAN – GSM03-BU – XANH DƯƠNG,L-LL (26.0cm-29.0cm),1,380000,justinle3112,Thẻ Tín dụng/Ghi nợ,TP. Hồ Chí Minh,,,,12/04/2021
08/04/2021,210408GKF5VNSF,VOTHF-2,[Mã FASHIONT4MA giảm 10K đơn 50K] VỚ ĐÁ BÓNG THF,Đen,3,26666.67,leminh09092013,Thanh toán khi nhận hàng,Bạc Liêu,,,,10/04/2021
08/04/2021,210408GKF5VNSF,VOTHF-1,[Mã FASHIONT4MA giảm 10K đơn 50K] VỚ ĐÁ BÓNG THF,Trắng,3,26666.67,leminh09092013,Thanh toán khi nhận hàng,Bạc Liêu,,,,10/04/2021
08/04/2021,210408GKF5VNSF,8717154536133,BĂNG VẢI THỂ THAO STARBALM – 3.8cm x 5m,3.8CMx5M,1,80000,leminh09092013,Thanh toán khi nhận hàng,Bạc Liêu,,,,10/04/2021
09/04/2021,210409JVAMJUP4,8717154532463,CHAI XỊT NÓNG 150ML STARBALM – ĐỎ,150 ML,1,220000,villabi,Tài khoản ngân hàng đã liên kết Ví ShopeePay,Phú Yên,Hủy bởi người mua,Đổi ý không muốn mua nữa,,
10/04/2021,210410MP51JPFN,4062053797678,ADIDAS PREDATOR 20.3 TF – EG0913 – TRẮNG / HỒNG,42,1,1350000,vuongthienhoang2002,Thanh toán khi nhận hàng,Hải Phòng,,,,18/04/2021
10/04/2021,210410MP51JPFN,Balocam,[Mã FASHIONT4MA giảm 10K đơn 50K] BALO THF - CAM ĐEN / XÁM VÀNG,Màu cam,1,0,vuongthienhoang2002,Thanh toán khi nhận hàng,Hải Phòng,,,,18/04/2021
10/04/2021,210410MP51JPFN,Baloxam,[Mã FASHIONT4MA giảm 10K đơn 50K] BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,0,vuongthienhoang2002,Thanh toán khi nhận hàng,Hải Phòng,,,,18/04/2021
10/04/2021,210410NCER1E76,8717154532463,CHAI XỊT NÓNG 150ML STARBALM – ĐỎ,150 ML,1,220000,villabi,Thanh toán khi nhận hàng,Phú Yên,,,,18/04/2021
11/04/2021,210411QFPE5JBV,VOTHF-1,[Mã FASHIONT4MA giảm 10K đơn 50K] VỚ ĐÁ BÓNG THF,Trắng,3,26666.67,lyphonghung,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,16/04/2021
12/04/2021,210412T6JG588B,Baloxam,[Mã FASHIONT4MA giảm 10K đơn 50K] BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,90000,phamchitoan99,Thanh toán khi nhận hàng,Bình Dương,Tự động hủy bởi hệ thống Shopee,Người bán không gửi hàng đúng hạn,,
13/04/2021,210413VH4A4MW7,4573103655140,VỚ NGẮN ACTIVITAL FOOT SUPPORTER JAPAN –GSM03-RD – ĐỎ,S-M [22.5cm-25.5cm],1,380000,hoangquyanhkhang,Thanh toán khi nhận hàng,Bình Định,,,,14/04/2021
13/04/2021,210413VH4A4MW7,4573103655232,VỚ NGẮN ACTIVITAL FOOT SUPPORTER JAPAN – GSM03-BU – XANH DƯƠNG,L-LL (26.0cm-29.0cm),1,380000,hoangquyanhkhang,Thanh toán khi nhận hàng,Bình Định,,,,14/04/2021
13/04/2021,210413VH4A4MW7,4589527206103,VỚ ACTIVITAL FOOT SUPPORTER CLASSIC - GSM01-BL - ĐEN,L-LL [26.0cm-29.0cm],1,310000,hoangquyanhkhang,Thanh toán khi nhận hàng,Bình Định,,,,14/04/2021
13/04/2021,210413VXMCS1KE,4062059904667,ADIDAS X GHOSTED.1 IN – EG8171 – TRẮNG / ĐEN,39 1/3,1,2450000,nguyentrong190,Thanh toán khi nhận hàng,Bắc Ninh,,,,14/04/2021
13/04/2021,210413VXMCS1KE,Balocam,[Mã FASHIONT4MA giảm 10K đơn 50K] BALO THF - CAM ĐEN / XÁM VÀNG,Màu cam,1,0,nguyentrong190,Thanh toán khi nhận hàng,Bắc Ninh,,,,14/04/2021
13/04/2021,210413VXMCS1KE,Baloxam,[Mã FASHIONT4MA giảm 10K đơn 50K] BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,0,nguyentrong190,Thanh toán khi nhận hàng,Bắc Ninh,,,,14/04/2021
13/04/2021,2104130SBDYH2M,4589527202907,VỚ NGẮN ACTIVITAL FOOT SUPPORTER CLASSIC – GSM01-WH - TRẮNG,S-M [22.5cm-25.5cm],1,310000,thanhvinh241,Thanh toán khi nhận hàng,Đà Nẵng,,,,16/04/2021
14/04/2021,21041421M12XF2,4062053790136,ADIDAS PREDATOR 20.3 LL TF - EG0909 - ĐỎ/ TRẮNG,43 1/3,1,1490000,vuongthienhoang2002,Thanh toán khi nhận hàng,Hải Phòng,Hủy bởi người mua,Lý do khác,,
14/04/2021,21041425E6WFMJ,VOTHF-2,[Mã FASHIONT4MA giảm 10K đơn 50K] VỚ ĐÁ BÓNG THF,Đen,2,30000,Cg13,Thanh toán khi nhận hàng,An Giang,,,,15/04/2021
15/04/2021,2104154SVEU9J8,VOTHF-1,VỚ ĐÁ BÓNG THF,Trắng,1,30000,bearorrabit,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,16/04/2021
16/04/2021,2104166WWXSJW6,4573103654495,VỚ ACTIVITAL FOOT SUPPORTER HYBRID - GSM02-RB - ĐỎ/ ĐEN,S-M [22.5cm-25.5cm],1,390000,fleoleo,Thẻ Tín dụng/Ghi nợ,Hà Nội,,,,22/04/2021
16/04/2021,2104166WWXSJW6,4573103655157,[Mã FASHIONGO15 giảm tới 60K đơn 300K] VỚ NGẮN ACTIVITAL FOOT SUPPORTER JAPAN – GSM03-BU – XANH DƯƠNG,S-M (22.5cm-25.5cm),1,380000,fleoleo,Thẻ Tín dụng/Ghi nợ,Hà Nội,,,,22/04/2021
18/04/2021,210418CAY3M9CY,4550234038325,MIZUNO MORELIA SALA CLUB TF - Q1GB200360 -  ĐỎ/ĐEN,42.5,1,1270000,minh_nhat.098,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,19/04/2021
18/04/2021,210418CAY3M9CY,VOTHF-1,VỚ ĐÁ BÓNG THF,Trắng,1,0,minh_nhat.098,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,19/04/2021
18/04/2021,210418CAY3M9CY,Baloxam,BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,0,minh_nhat.098,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,19/04/2021
19/04/2021,210419EQF3EU1E,VOTHF-1,VỚ ĐÁ BÓNG THF,Trắng,1,30000,long17995,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,23/04/2021
21/04/2021,210421KMUA7H3H,Baloxam,BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,90000,nguyenkimkhoi1601,Thẻ Tín dụng/Ghi nợ,Bình Thuận,,,,23/04/2021
21/04/2021,210421KTPX92AT,VOTHF-1,VỚ ĐÁ BÓNG THF,Trắng,1,30000,nhatchanh2712,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,28/04/2021
21/04/2021,210421M3NQSDBH,VOTHF-2,VỚ ĐÁ BÓNG THF,Đen,3,26666.67,minibosssssss,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,Tự động hủy bởi hệ thống Shopee,Người bán không gửi hàng đúng hạn,,
21/04/2021,210421MSRD4CCH,4573103655232,VỚ NGẮN ACTIVITAL FOOT SUPPORTER JAPAN – GSM03-BU – XANH DƯƠNG,L-LL (26.0cm-29.0cm),1,380000,hoangquyanhkhang,Thanh toán khi nhận hàng,Bình Định,,,,25/04/2021
21/04/2021,210421MSRD4CCH,4589527202884,VỚ ACTIVITAL FOOT SUPPORTER CLASSIC - GSM01-BL - ĐEN,S-M [22.5cm-25.5cm],1,310000,hoangquyanhkhang,Thanh toán khi nhận hàng,Bình Định,,,,25/04/2021
22/04/2021,210422PG0XT9WJ,4573103655232,VỚ NGẮN ACTIVITAL FOOT SUPPORTER JAPAN – GSM03-BU – XANH DƯƠNG,L-LL (26.0cm-29.0cm),1,380000,vanthong94,Thanh toán khi nhận hàng,Đà Nẵng,,,,28/04/2021
23/04/2021,210423RDFE6A83,4550234038271,MIZUNO MORELIA SALA CLUB TF - Q1GB200360 -  ĐỎ/ĐEN,39,1,1270000,anhtu15031993,Thanh toán khi nhận hàng,Hòa Bình,Hủy bởi người mua,Lý do khác,,
26/04/2021,21042633V16NS4,4550234038301,MIZUNO MORELIA SALA CLUB TF - Q1GB200360 -  ĐỎ/ĐEN,41,1,1270000,nguyenvantung01,Thanh toán khi nhận hàng,Hà Nội,,,,06/05/2021
26/04/2021,21042633V16NS4,VOTHF-1,VỚ ĐÁ BÓNG THF,Trắng,1,0,nguyenvantung01,Thanh toán khi nhận hàng,Hà Nội,,,,06/05/2021
26/04/2021,21042633V16NS4,Baloxam,BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,0,nguyenvantung01,Thanh toán khi nhận hàng,Hà Nội,,,,06/05/2021
26/04/2021,2104263RM2W4QV,4589527202884,VỚ ACTIVITAL FOOT SUPPORTER CLASSIC - GSM01-BL - ĐEN,S-M [22.5cm-25.5cm],1,310000,bechic.online,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,Hủy bởi người mua,Lý do khác,,
29/04/2021,210429B1U44K7A,VOTHF-2,VỚ ĐÁ BÓNG THF,Đen,3,26666.67,minibosssssss,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,04/05/2021
02/05/2021,210502JK7DD555,6941405946330,MIZUNO MORELIA NEO III PRO AS IGNITION RED – P1GD208460 – ĐỎ,41,1,2610000,0_xxr2fku_,Thanh toán khi nhận hàng,Đà Nẵng,,,,11/05/2021
02/05/2021,210502JK7DD555,VOTHF-1,VỚ ĐÁ BÓNG THF,Trắng,1,0,0_xxr2fku_,Thanh toán khi nhận hàng,Đà Nẵng,,,,11/05/2021
02/05/2021,210502JK7DD555,Baloxam,BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,0,0_xxr2fku_,Thanh toán khi nhận hàng,Đà Nẵng,,,,11/05/2021
02/05/2021,210502JN8K1YG0,VOTHF-2,VỚ ĐÁ BÓNG THF,Đen,3,26666.67,richardpham,Tài khoản ngân hàng đã liên kết Ví ShopeePay,TP. Hồ Chí Minh,,,,04/05/2021
02/05/2021,210502KD71VS6B,Baloxam,BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,90000,nutibost122,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,04/05/2021
05/05/2021,210505S95CME42,VOTHF-1,VỚ ĐÁ BÓNG THF,Trắng,1,30000,dangkhoa241w,Ví ShopeePay,TP. Hồ Chí Minh,Tự động hủy bởi hệ thống Shopee,Chưa được Thanh Toán,,
05/05/2021,210505SDFWBKJU,VOTHF-1,VỚ ĐÁ BÓNG THF,Trắng,3,26666.67,dangkhoa241w,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,07/05/2021
05/05/2021,210505T05AX739,Baloxam,BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,90000,trunglyminh,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,06/05/2021
05/05/2021,210505T2WMJ7MK,4589527206110,VỚ NGẮN ACTIVITAL FOOT SUPPORTER CLASSIC – GSM01-WH - TRẮNG,L-LL [26.0cm-29.0cm],1,310000,Lg79,Thanh toán khi nhận hàng,Bình Thuận,Hủy bởi người mua,Muốn thay đổi sản phẩm trong đơn hàng,,
05/05/2021,210505T33M6NDM,VOTHF-2,[Mã FAXANH55 giảm 10K đơn 50K] VỚ ĐÁ BÓNG THF,Đen,1,30000,Lg79,Thanh toán khi nhận hàng,Bình Thuận,,,,11/05/2021
05/05/2021,210505T33M6NDM,4589527206110,VỚ NGẮN ACTIVITAL FOOT SUPPORTER CLASSIC – GSM01-WH - TRẮNG,L-LL [26.0cm-29.0cm],1,310000,Lg79,Thanh toán khi nhận hàng,Bình Thuận,,,,11/05/2021
05/05/2021,210505T39THRHR,4062063340345,ADIDAS TOPSALA – FX6761 – HỒNG NEON/TRẮNG,39 1/3,1,1750000,tranthithanhtam161,Thanh toán khi nhận hàng,Bình Thuận,,,,07/05/2021
05/05/2021,210505T7KNE9MF,VOTHF-1,[Mã FAXANH55 giảm 10K đơn 50K] VỚ ĐÁ BÓNG THF,Trắng,3,26666.67,NA42,Thanh toán khi nhận hàng,Tiền Giang,,,,09/05/2021
05/05/2021,210505T7KNE9MF,Baloxam,BALO THF - CAM ĐEN / XÁM VÀNG,Xám vàng,1,90000,NA42,Thanh toán khi nhận hàng,Tiền Giang,,,,09/05/2021
06/05/2021,210506V96NM4UJ,194494418196,NIKE REACT PHANTOM GT PRO IC - CK8463-160 – TRẮNG/ĐEN/HỒNG,42,1,1850000,phucan1911,Thanh toán khi nhận hàng,Lâm Đồng,,,,10/05/2021
06/05/2021,210506VA1T9Q2V,VOTHF-1,[Mã FAXANH55 giảm 10K đơn 50K] VỚ ĐÁ BÓNG THF,Trắng,2,30000,Pn92,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,07/05/2021
07/05/2021,2105071WAW34QW,VOTHF-1,VỚ ĐÁ BÓNG THF,Trắng,1,30000,thehackerboy,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,Hủy bởi người mua,Muốn thay đổi sản phẩm trong đơn hàng,,
07/05/2021,2105071WAW34QW,8717154536119,BĂNG VẢI THỂ THAO STARBALM – 2.5cm x 10m,2.5CM x 10CM,1,90000,thehackerboy,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,Hủy bởi người mua,Muốn thay đổi sản phẩm trong đơn hàng,,
07/05/2021,2105071WHB17SX,VOTHF-1,VỚ ĐÁ BÓNG THF,Trắng,1,30000,thehackerboy,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,,,,08/05/2021
