Ngày đặt hàng,Mã đơn hàng,Barcode,Tên sản phẩm,Tên phân loại hàng,Số lượng,Giá bán thực,Người Mua,Phương thức thanh toán,Tỉnh/Thành phố,Hủy bởi,Hủy với lý do,Trạng thái Trả hàng/Hoàn tiền,Thời gian hoàn thành đơn hàng
29/01/2022,2201294C7X1GY2,2000000005485,KAMITO CỎ NHÂN TẠO TA11-AS - F21001 - TRẮNG/VÀNG,44,1,690000,hoangducdung2112005,Thanh toán khi nhận hàng,Nghệ An,Hủy bởi người mua,Lý do khác,,
29/01/2022,2201294HHDDTND,MIP1GZ180245-M,LÓT GIÀY MIZUNO - P1GZ180245 - VÀNG,M,1,80000,yjghdbk2le,Thanh toán khi nhận hàng,TP. Hồ Chí Minh,Hủy bởi người mua,Lý do khác,,
01/02/2022,220201BB9RRDS0,VOTHF-2,VỚ ĐÁ BÓNG THF,Đen trơn,1,26668,nhinguyen1286,Tài khoản ngân hàng đã liên kết Ví ShopeePay,Bắc Ninh,,,,08/02/2022
01/02/2022,220201BB9RRDS0,VOTHF-3,VỚ ĐÁ BÓNG THF,Trắng viền đen,1,26666,nhinguyen1286,Tài khoản ngân hàng đã liên kết Ví ShopeePay,Bắc Ninh,,,,08/02/2022
01/02/2022,220201BB9RRDS0,VOTHF-4,VỚ ĐÁ BÓNG THF,Đen viền trắng,1,26666,nhinguyen1286,Tài khoản ngân hàng đã liên kết Ví ShopeePay,Bắc Ninh,,,,08/02/2022
01/02/2022,220201BB9RRDS0,4064047513783,ADIDAS X SPEEDFLOW.3 TF - FY3313 - TRẮNG/ĐEN,40,1,1750000,nhinguyen1286,Tài khoản ngân hàng đã liên kết Ví ShopeePay,Bắc Ninh,,,,08/02/2022
01/02/2022,220201BXUWAE6W,8717154536096,BĂNG VẢI THỂ THAO STARBALM – 5cm x 10m,5CM x 10CM,1,180000,Hg55,Thanh toán khi nhận hàng,Quảng Trị,,,,07/02/2022
01/02/2022,220201BXUWAE6W,8717154536119,BĂNG VẢI THỂ THAO STARBALM – 2.5cm x 10m,2.5CM x 10CM,1,90000,Hg55,Thanh toán khi nhận hàng,Quảng Trị,,,,07/02/2022
02/02/2022,220202DXGKUS47,194494154636,NIKE JR. MERCURIAL SUPERFLY 7 ACADEMY TF - AT8143-801 - VÀNG/ĐEN,35.5,1,1450000,9df16pm7y4,Thanh toán khi nhận hàng,Hải Phòng,Hủy bởi người mua,Muốn nhập/thay đổi mã Voucher,,
02/02/2022,220202DXGKUS47,VOTHF-2,VỚ ĐÁ BÓNG THF,Đen trơn,1,0,9df16pm7y4,Thanh toán khi nhận hàng,Hải Phòng,Hủy bởi người mua,Muốn nhập/thay đổi mã Voucher,,
02/02/2022,220202DXGKUS47,Baloden,BALO THF - CAM ĐEN / XÁM VÀNG /XANH ĐEN,Màu đen,1,0,9df16pm7y4,Thanh toán khi nhận hàng,Hải Phòng,Hủy bởi người mua,Muốn nhập/thay đổi mã Voucher,,
02/02/2022,220202DYNUQJ00,195243607823,NIKE MERCURIAL ZOOM VAPOR 14 PRO TF - CV1001-574 - XANH TÍM DẠ QUANG,39,1,2690000,nongnghiepphuongoanh,Thanh toán khi nhận hàng,Sơn La,Hủy bởi người mua,Lý do khác,,
02/02/2022,220202DYNUQJ00,VOTHF-2,VỚ ĐÁ BÓNG THF,Đen trơn,1,0,nongnghiepphuongoanh,Thanh toán khi nhận hàng,Sơn La,Hủy bởi người mua,Lý do khác,,
